method,n,T_orig,p_value,B,time,T_b
ols,30,0.6742977119395307,0.019801980198019802,100,5.000983476638794,"[0.12503766 0.26660211 0.88111233 0.11398143 0.17675175 0.00411291
 0.12446377 0.02291933 0.40068125 0.26847771 0.16182651 0.18526019
 0.09481287 0.08951458 0.00640832 0.24366472 0.1944351  0.06653402
 0.16379424 0.07518355 0.14417633 0.53344951 0.00602794 0.39373618
 0.00285212 0.10113949 0.1716311  0.18369591 0.01511297 0.39961072
 0.04209325 0.04728498 0.14671195 0.01072775 0.20581618 0.07242168
 0.06660221 0.15572892 0.03765536 0.08886553 0.16814078 0.31750274
 0.33448154 0.09344287 0.07315832 0.40825231 0.12972757 0.22785984
 0.40605971 0.15398529 0.45150633 0.03832359 0.0047895  0.26754079
 0.15339768 0.24017573 0.02530757 0.1869199  0.06920409 0.08756247
 0.16080038 0.0024571  0.09913366 0.00864149 0.25989661 0.1876377
 0.02826913 0.02153492 0.29531951 0.35573346 0.09743653 0.13272656
 0.22021826 0.19942627 0.3243902  0.12278717 0.00124209 0.00765221
 0.04260067 0.08467348 0.22629258 0.03069129 0.09714677 0.11577541
 0.29311726 0.31975261 0.12027149 0.4250431  0.08631031 0.02408415
 0.16889143 0.16248892 0.07890066 0.07936873 0.20336782 0.20988649
 0.13241393 0.20548464 0.09180672 0.09211539]"
hrt,30,-1.4832029958016395,0.1782178217821782,100,0.0939028263092041,"[-2.78563237 -3.73417419 -0.86147589 -2.26793801 -1.64319135 -2.21250181
 -2.4670285  -2.57620664 -1.81300968 -1.22508726 -2.06213279 -1.49532538
 -1.83456213 -1.46546748 -2.20623258 -2.95948791 -1.37254592 -1.34745452
 -2.77837828 -3.00137497 -1.86124432 -2.48413358 -1.5446145  -1.47410483
 -2.07113034 -1.8062269  -1.28298675 -1.29720316 -1.93650336 -1.79524667
 -2.91969814 -1.64719452 -1.16077408 -2.12757169 -2.43626194 -3.45213069
 -2.53846802 -3.79192185 -3.17570965 -2.72390458 -1.31884098 -1.77273403
 -2.94380526 -1.61589183 -2.58215177 -1.48273527 -1.04232746 -1.83260624
 -0.76743663 -3.42374946 -1.75215154 -2.22815822 -2.06416779 -2.06078565
 -1.02579011 -1.75701046 -1.79631632 -2.17006817 -2.907341   -1.94056727
 -1.99318157 -2.2221445  -1.76817367 -2.21479649 -2.49953327 -2.93101857
 -1.65680264 -1.39032149 -1.64559915 -1.7671286  -2.63920698 -1.60733349
 -2.05646165 -1.43510747 -2.108433   -1.67449587 -2.41215661 -1.62821647
 -2.49991521 -1.84683304 -2.90819667 -1.49615725 -1.8372093  -2.09931376
 -1.65916092 -1.97270642 -1.5222819  -1.05763315 -2.2035481  -2.01429887
 -2.43184868 -2.43773234 -1.96256171 -1.95432097 -3.37462695 -1.83153842
 -1.91547334 -1.69925981 -2.1732679  -2.08700723]"
jackknife,30,-23.28487181701582,0.019801980198019802,100,16.438337564468384,"[-31.14478171 -34.2404871  -16.59972023 -30.98628497 -31.54476418
 -32.889965   -32.44050286 -32.58173582 -28.14106008 -30.62442176
 -30.43433698 -31.69101264 -31.24420542 -31.96605831 -29.89818497
 -29.20559497 -30.29165393 -31.2864448  -31.36160689 -31.69717272
 -32.08462847 -26.9439831  -31.02704967 -25.58549166 -32.3287621
 -30.35308177 -29.9267852  -30.65292849 -36.59330421 -26.12790877
 -30.63143049 -31.00166954 -31.40278808 -31.84821722 -32.01213238
 -31.10762917 -31.7107415  -32.07474862 -30.53498303 -31.83023365
 -30.70977717 -28.70350712 -28.57473864 -31.88468977 -29.74956262
 -26.60817157 -31.19656417 -30.16403068 -32.21675088 -34.13662495
 -30.37062865 -30.98852278 -29.97588183 -31.43735605 -32.07320184
 -33.52240707 -31.02333746 -30.60409288 -30.75744728 -30.92801284
 -29.19440625 -29.92153448 -30.2878686  -29.51442084 -28.8293869
 -31.88597399 -32.50215558 -31.13432761 -30.14628154 -31.10718139
 -32.47433504 -33.60581172 -29.99119893 -31.44640373 -31.40850354
 -32.0962602  -31.83501706 -33.32310633 -31.19302871 -33.26633128
 -31.09410769 -30.39134767 -31.22262188 -32.97192938 -28.97822174
 -28.93610195 -30.64771266 -30.17237338 -30.72793569 -33.59475972
 -33.04566777 -30.790419   -30.58305294 -31.64963588 -33.28557026
 -31.97284831 -30.89717639 -30.78342373 -30.08629842 -31.73790137]"
cross_val,30,-7.903920719746772,0.019801980198019802,100,5.440166473388672,"[-10.42306044 -10.49559567  -5.62603856  -9.29739134 -12.09861339
 -12.40907488 -11.17026568 -11.32293184 -10.47813251 -11.68068161
 -12.04479378 -13.13254923 -10.60482173 -12.21864809 -11.34812905
 -10.73618862 -10.17355361 -11.56604581 -10.64522165 -11.7512685
 -11.50501662  -9.47044509 -13.63209722  -8.33880172 -11.22235682
  -9.41146591 -11.20702066 -10.55663842 -14.61201998 -10.22854125
  -8.66318067 -11.76777484 -11.61367549 -10.05446317 -11.15970186
 -13.27115989 -11.05881111  -8.40757797 -12.04726784 -10.766533
 -10.49563662 -10.67402454 -11.43823619 -11.88620525  -9.49986472
 -11.27089587 -11.6323891  -12.12014272 -10.82339322 -13.11931388
 -10.67972351 -10.9922545  -10.45241933 -10.02118791 -11.25168981
 -10.57511029 -13.49501998 -12.63765482 -12.54627723 -12.10276028
 -10.58203662 -10.96694319 -12.02601325 -12.15597306  -9.94064177
 -10.4500951  -10.82715309 -10.43072495  -9.43850987  -8.73708228
 -11.92055966 -12.94670881 -11.14240278 -10.46738952  -9.8014029
 -10.74935219 -10.85984222  -9.297791    -9.97322143 -12.45241533
  -9.49349563 -10.45927517 -10.79529856 -11.88851004 -11.3762007
  -9.70813118 -10.62041783 -13.2055511  -11.9540935  -13.75569361
 -11.93011503 -11.74886619  -9.51480855 -10.77968551 -10.967741
 -10.84692111 -11.66759551 -11.04060922  -9.48441196 -16.67149282]"
train_score,30,-0.620497764023046,0.019801980198019802,100,0.5992453098297119,"[-0.8630704  -0.85864674 -0.45138521 -0.83527278 -0.82123979 -0.8630704
 -0.8630704  -0.84382746 -0.75809585 -0.79435727 -0.82576025 -0.81655546
 -0.83853286 -0.8630704  -0.84382746 -0.79549982 -0.81482216 -0.8630704
 -0.8630704  -0.83768624 -0.83365482 -0.72540885 -0.843819   -0.71518775
 -0.84382746 -0.83462629 -0.81773941 -0.82275696 -0.8630704  -0.72596445
 -0.84373961 -0.84272786 -0.82894892 -0.84382746 -0.80909407 -0.8630704
 -0.83810865 -0.82428771 -0.84382746 -0.84020187 -0.81751993 -0.75239655
 -0.75670318 -0.83811718 -0.8410296  -0.73054591 -0.83362116 -0.809393
 -0.7694998  -0.8630704  -0.7643814  -0.84202892 -0.84293428 -0.78933862
 -0.85022024 -0.81333681 -0.84382746 -0.83504331 -0.8630704  -0.8630704
 -0.82339698 -0.84382746 -0.83774559 -0.84382746 -0.78171842 -0.8155168
 -0.84382746 -0.8630704  -0.79744364 -0.77706048 -0.83738865 -0.8234697
 -0.81014648 -0.81480832 -0.76632084 -0.84208388 -0.8630704  -0.84382746
 -0.8406845  -0.83615342 -0.81272954 -0.84238186 -0.83027432 -0.83158722
 -0.75073384 -0.77840451 -0.83509578 -0.72443234 -0.83686748 -0.84342117
 -0.82083812 -0.82076453 -0.83849953 -0.84147134 -0.81701754 -0.8630704
 -0.83651246 -0.8630704  -0.83797779 -0.83616029]"
ols,50,0.9066978954727264,0.009900990099009901,100,0.05881977081298828,"[0.25663048 0.14542589 0.05270926 0.09797197 0.195641   0.13183854
 0.09453303 0.07689375 0.08603163 0.03833874 0.00800394 0.0072376
 0.12453616 0.19423136 0.23800458 0.10672757 0.08582438 0.27825367
 0.09382061 0.09739787 0.13157173 0.1422792  0.09878559 0.08210587
 0.18490625 0.53801176 0.07775308 0.08937855 0.20745148 0.01570702
 0.00782598 0.17883803 0.16591371 0.18081099 0.19835327 0.21746359
 0.15352266 0.0690676  0.01409414 0.24968356 0.02848001 0.09586079
 0.06801758 0.11314419 0.0129962  0.18545943 0.23116396 0.1020335
 0.04562874 0.29947611 0.17981239 0.05696    0.26154945 0.018556
 0.06766264 0.25560284 0.01526568 0.16365542 0.26452459 0.51252724
 0.0403384  0.02143902 0.05507479 0.53413414 0.16789263 0.08484321
 0.16779141 0.15812601 0.25799899 0.10730647 0.28733725 0.29314191
 0.17801109 0.64466032 0.07520077 0.0212819  0.03881546 0.17074118
 0.12063292 0.01460916 0.00943176 0.13478316 0.01711176 0.00838306
 0.05237482 0.06179091 0.26970682 0.1635704  0.01385143 0.01239374
 0.07469626 0.34737916 0.25431727 0.14056424 0.15292086 0.01560088
 0.00220425 0.10322691 0.51692078 0.1890284 ]"
hrt,50,-0.9473118435625159,0.13861386138613863,100,0.07795405387878418,"[-1.63260865 -1.07543716 -1.34854672 -1.19509994 -0.95370565 -1.38443186
 -2.37590659 -1.88117227 -0.75491044 -1.68381063 -1.29730928 -1.32488122
 -1.49970965 -1.31508945 -0.84972894 -2.02298002 -1.56610095 -2.94460118
 -1.39202782 -2.62811952 -1.73385037 -0.88933057 -1.04576762 -1.4977032
 -1.86341387 -1.98971854 -2.18893602 -1.34219963 -0.32150966 -1.05655645
 -1.88465483 -1.2651674  -1.73910067 -0.83643013 -1.23781626 -1.12476826
 -1.07601857 -0.70804544 -2.60269534 -1.84317014 -1.19454652 -0.8015411
 -1.63615529 -1.5408937  -1.12026165 -1.93838532 -1.22849168 -1.01835733
 -1.22154394 -2.61852363 -2.04135889 -4.02014148 -1.5639944  -1.06826177
 -0.80818266 -1.99413449 -1.54189543 -1.71819592 -0.71955963 -1.73963207
 -1.91519262 -0.88121396 -2.09001504 -3.21534912 -1.68682085 -1.87040962
 -2.22229548 -2.55091649 -1.47220418 -1.27196648 -1.31001331 -1.69904926
 -1.15945487 -1.94576313 -1.22317905 -1.61028926 -1.38771123 -2.04959105
 -2.08531407 -1.39271457 -1.5965542  -1.1014101  -1.57043401 -0.42734018
 -1.78579821 -1.70941057 -2.10747735 -1.4875996  -2.0428422  -1.15484097
 -2.53406212 -2.1291288  -1.16617684 -2.42182512 -2.28743987 -1.22564057
 -0.97932926 -0.84221628 -1.28207979 -0.8846717 ]"
jackknife,50,-55.89817957286013,0.009900990099009901,100,27.302626132965088,"[-75.78186388 -77.25393846 -78.30597337 -79.61452228 -77.4414789
 -78.13246665 -81.78253906 -76.6426363  -76.68657921 -77.7253995
 -76.49195671 -77.27133647 -78.09984651 -76.84274508 -79.7402268
 -76.6426363  -78.79839996 -76.23415787 -78.38909531 -76.6426363
 -79.44579239 -78.61040221 -79.75962773 -79.74393416 -80.98287047
 -71.99283992 -77.48186319 -79.62928177 -78.675624   -76.75841224
 -77.25333179 -77.7388367  -78.95617687 -79.5339336  -79.65112788
 -75.26734851 -79.43182808 -79.20042198 -76.75614024 -79.91669249
 -77.70156139 -80.7202151  -77.75567175 -80.74920345 -79.21495976
 -79.42533463 -82.9644301  -76.80417446 -77.18075124 -74.13767134
 -76.58533822 -77.89890095 -77.27754306 -76.64630749 -80.41038627
 -79.59216465 -76.6671382  -77.99921184 -76.46796211 -70.49655991
 -76.6426363  -80.52961253 -77.54594769 -66.80037076 -77.39406584
 -78.62705859 -76.6426363  -79.29885756 -76.23418919 -76.6968826
 -74.85717998 -74.62109548 -78.80054797 -67.10839821 -78.30241404
 -76.91178328 -77.24346566 -80.22564377 -79.39454533 -76.12938894
 -77.35635981 -76.03521395 -78.88204569 -76.86391826 -76.70386616
 -78.0114226  -80.06545886 -79.00807656 -77.24603162 -76.64178829
 -76.0630569  -72.83426147 -77.90384768 -81.57380258 -79.19840345
 -77.34377296 -76.74356861 -77.34575206 -68.08109572 -78.88629606]"
cross_val,50,-12.610949541308281,0.009900990099009901,100,5.51014518737793,"[-15.56215024 -13.35726031 -16.13494766 -19.5136279  -16.24103386
 -15.61522554 -15.01814426 -15.33159444 -16.93403541 -17.46096842
 -15.96423707 -14.63912985 -14.67731503 -14.73616029 -17.61009581
 -14.45620592 -18.63960403 -16.31211858 -15.30447364 -15.17436327
 -14.99720633 -15.06287314 -15.34727437 -14.4095182  -17.05201872
 -15.06193145 -15.93508006 -19.51490823 -15.33564094 -18.85640452
 -17.69311011 -16.58524435 -15.16432277 -17.1005364  -13.36503682
 -15.84191687 -16.81493638 -15.64800444 -15.13575678 -15.30585744
 -15.36168107 -18.50153296 -17.97008878 -16.14258135 -14.93777313
 -17.75837256 -15.1596464  -15.01813918 -16.15551226 -15.21220154
 -16.26215851 -15.0496713  -16.57198326 -17.04868914 -16.16547945
 -16.6122899  -16.19176268 -13.81464728 -17.89866509 -13.4069676
 -16.63211783 -17.43657618 -13.48045614 -14.18496119 -16.24327068
 -15.2056461  -16.27251393 -15.07031285 -18.94726372 -18.55082424
 -14.78319623 -14.86115908 -15.98216655 -13.51929255 -16.14516237
 -14.89451909 -17.54423966 -15.11481733 -17.17096888 -14.24444187
 -19.11932801 -17.51089303 -16.180735   -17.74393571 -16.6720853
 -14.97925843 -16.33782359 -16.0711366  -17.47749298 -16.41951714
 -14.7137632  -16.26952364 -15.8699774  -18.2767621  -17.50026987
 -14.14959825 -16.26875304 -18.82180221 -16.62295379 -16.95320421]"
train_score,50,-0.9914420468527557,0.009900990099009901,100,0.5909883975982666,"[-1.36297348 -1.39811073 -1.43132331 -1.40517389 -1.38764246 -1.4305916
 -1.42652538 -1.43132331 -1.43132331 -1.43132331 -1.43132331 -1.43132331
 -1.39735377 -1.40067413 -1.424086   -1.43132331 -1.42671393 -1.37625796
 -1.42925381 -1.43132331 -1.43132331 -1.40275848 -1.40908813 -1.42675524
 -1.39593756 -1.27117236 -1.43132331 -1.42912766 -1.40527933 -1.43132331
 -1.41387643 -1.3933011  -1.42127613 -1.43132331 -1.3903121  -1.3796597
 -1.39806957 -1.42992312 -1.43132331 -1.37534096 -1.43132331 -1.42978556
 -1.43132331 -1.4258732  -1.43132331 -1.38870085 -1.38035159 -1.43132331
 -1.43132331 -1.33428518 -1.38849562 -1.43132331 -1.36283924 -1.43132331
 -1.42955761 -1.42940002 -1.43132331 -1.38996535 -1.3529549  -1.28437327
 -1.43132331 -1.43132331 -1.4117162  -1.18209284 -1.39861735 -1.4092694
 -1.43132331 -1.43132331 -1.35594296 -1.40927407 -1.34500595 -1.33846729
 -1.39329432 -1.19931246 -1.42692105 -1.43132331 -1.43132331 -1.41179808
 -1.40375088 -1.43132331 -1.41387643 -1.43132331 -1.41369613 -1.43132331
 -1.43132331 -1.43132331 -1.35885131 -1.39782656 -1.43132331 -1.43132331
 -1.43132331 -1.3060117  -1.37720296 -1.39560532 -1.43132331 -1.4138483
 -1.43132331 -1.40849637 -1.23113659 -1.39341538]"
