method,n,T_orig,p_value,B,time,T_b
ols,30,1.1266712576839368,0.019801980198019802,100,4.926930904388428,"[0.006605   0.29371472 1.30134834 0.17404573 0.71114799 0.34655031
 0.35683621 0.23169142 0.92030715 0.50798605 0.14714251 0.33533514
 0.13661918 0.10834596 0.76633542 0.29750564 0.16315208 0.28175973
 0.24424102 0.26207235 0.11233646 0.32701183 0.27117536 0.53218601
 0.25013124 0.36728881 0.39585273 0.29645592 0.1363185  0.40467306
 0.27631393 0.95264628 0.02479566 0.66751136 0.33632372 0.14519459
 0.41783622 0.4650627  0.07992367 0.33292776 0.4361482  0.12676809
 0.56273226 0.05945478 0.28808662 0.56335246 0.74780369 0.41906163
 0.35265154 0.15731171 0.09404574 0.17507393 0.26043206 0.27852911
 0.19433329 0.19065846 0.23504051 0.46047923 0.10617268 0.22726881
 0.3758824  0.24241275 0.50883569 0.42253129 0.29686072 0.2296114
 0.08211754 0.25779943 0.34561035 0.28923045 0.20348559 0.12144061
 0.43365946 0.20988715 0.32408053 0.06128086 0.27045384 0.02714587
 0.18362535 0.09470771 0.20878646 0.5647338  0.78855398 0.10344774
 0.27092893 0.12761523 0.18934738 0.01220602 0.13155308 0.07639934
 0.21480982 0.56937891 0.19676223 0.44409143 0.38774212 0.14629386
 0.49441628 0.06389362 0.76739336 0.03147706]"
hrt,30,-1.470218525412906,0.07920792079207921,100,0.10393118858337402,"[-5.39949283 -6.0591461  -0.9975388  -3.09171682 -1.94735246 -3.94647367
 -1.61902148 -2.19519528 -3.40495834 -3.04762881 -3.70510392 -2.06044585
 -2.31543211 -2.42554978 -2.76809179 -2.24879624 -5.10065798 -2.39477886
 -3.51219038 -2.5837982  -3.34831728 -6.19116507 -6.77767666 -4.20216989
 -4.43872085 -2.04991651 -6.58341566 -3.36330963 -3.17391614 -2.79992046
 -4.2492064  -2.00490613 -1.89694866 -3.14001823 -2.94092776 -4.83267448
 -4.18220998 -4.83170896 -2.71444717 -2.91225873 -5.37570605 -2.87524333
 -2.34773125 -3.25846165 -3.92552806 -0.46596822 -2.4022906  -2.40328558
 -1.99214133 -2.48423293 -5.35342558 -2.03216168 -2.89652645 -1.64294912
 -3.9675038  -4.75702082 -4.84181272 -2.69830315 -5.26107358 -2.92934619
 -3.60555947 -3.6570103  -1.68765774 -5.42132652 -3.35012739 -2.16377872
 -3.67461035 -7.00450298 -2.68183819 -2.61995518 -3.1749906  -4.16268341
 -1.98641335 -1.41594535 -2.49033519 -1.58962659 -3.36297105 -5.05458211
 -4.54858342 -2.23598623 -2.38567108 -3.10622418 -3.12615357 -4.22831745
 -2.89253413 -6.32364141 -3.97489615 -2.57431732 -0.95972692 -2.28883828
 -3.45454134 -7.52397829 -3.54889666 -1.09817515 -4.91909004 -1.37614022
 -3.16976146 -3.85873956 -0.98460255 -2.00274942]"
jackknife,30,-33.65083226261019,0.009900990099009901,100,16.490629196166992,"[-72.30355174 -71.09756178 -34.1136854  -73.08412141 -65.81887188
 -73.38539065 -76.56267237 -75.28773539 -73.49141096 -65.2661833
 -73.18103801 -71.21919123 -71.49799778 -73.98811535 -65.08012104
 -76.91954642 -70.28200576 -75.24808903 -76.0641317  -73.63213831
 -73.42206108 -73.06828539 -70.85694413 -82.50876307 -76.12871999
 -71.2193654  -77.37029961 -72.6139302  -76.26440225 -72.38006385
 -73.26255907 -59.90188259 -71.53011866 -85.83615556 -76.37638301
 -75.43601259 -69.3626698  -74.60299671 -71.26549472 -76.10083383
 -76.92694292 -72.15754981 -68.44754235 -70.39441025 -74.05473939
 -71.11304486 -60.56000932 -70.96689378 -77.87920376 -70.23796396
 -70.10108073 -75.02878026 -73.63205632 -72.35345449 -71.87659708
 -73.38996859 -75.0489506  -70.60774746 -74.52375262 -73.19035477
 -78.98880356 -75.55207877 -68.60056995 -70.92200045 -77.44300334
 -73.50703438 -72.4675647  -77.31756545 -75.89409908 -70.67754992
 -72.8241871  -71.61410719 -79.54066486 -78.33707218 -72.22487935
 -70.42422845 -72.58155666 -71.78104593 -75.33659424 -72.21907489
 -73.20228996 -67.96985946 -62.51948465 -73.984056   -72.13032511
 -72.68438404 -72.30448748 -72.55808023 -75.08326761 -75.36271876
 -71.56978197 -61.81578591 -70.35579971 -81.14899858 -72.26217184
 -69.89344095 -78.77107705 -73.88133145 -64.46532052 -73.39287657]"
cross_val,30,-12.139851102447704,0.009900990099009901,100,5.527450084686279,"[-24.17917509 -23.29797357 -14.42443357 -19.96372001 -22.74445732
 -23.95058639 -29.46082922 -25.14806775 -17.96884694 -25.93573846
 -23.45436105 -27.01199151 -22.09987083 -24.93145672 -28.71957034
 -22.81628338 -26.78615004 -23.15097702 -25.92603818 -25.10112781
 -24.05694561 -30.64628053 -25.19450548 -30.24971359 -21.34704081
 -22.07645423 -27.08801049 -24.70398279 -27.07269869 -23.23712052
 -27.4362699  -24.2488744  -26.74736052 -23.68998052 -25.24323892
 -29.25547483 -24.13649011 -22.4537819  -23.23551979 -23.60419138
 -24.029728   -25.4432693  -24.56167168 -27.43833575 -19.93713648
 -24.36988504 -21.29083013 -27.04450693 -26.03753354 -24.1414358
 -25.84008318 -29.08565403 -23.68195559 -27.83336129 -27.5335007
 -20.87111404 -26.98795554 -22.06186969 -24.63833321 -25.10133484
 -23.82536006 -22.22155732 -22.93745436 -25.35339366 -27.27935878
 -24.79686438 -25.86001314 -22.0061875  -22.20577042 -28.04450723
 -31.0291218  -26.42075724 -27.53182956 -30.21142846 -25.16868061
 -27.71721982 -20.03644803 -30.0697326  -20.15191212 -29.57814184
 -27.34359523 -26.23012229 -20.82506244 -24.59942987 -24.86464269
 -24.80963587 -19.87462726 -22.58112787 -25.47718155 -24.02599398
 -26.41120749 -22.62163988 -24.85515671 -27.05532089 -28.13114293
 -21.46490881 -27.05185186 -23.78953239 -17.75933617 -27.33045644]"
train_score,30,-0.9249426117018055,0.009900990099009901,100,0.5978784561157227,"[-2.28685218 -2.02945137 -0.92696109 -2.10335231 -1.85108197 -2.0452264
 -2.05866136 -2.08979665 -1.71113792 -1.88455875 -2.11973156 -2.00987415
 -2.12818941 -2.12282978 -1.83896864 -2.09777735 -2.12818941 -2.07954044
 -2.08667303 -2.0731544  -2.12767866 -2.02724655 -2.06559489 -2.28685218
 -2.1173061  -2.00333044 -2.02115486 -2.09129003 -2.28685218 -2.00047739
 -2.06698393 -1.59741564 -2.12818941 -2.28685218 -2.11932425 -2.28685218
 -2.02714441 -1.9562132  -2.12714358 -2.12818941 -2.00063413 -2.11770226
 -1.8834977  -2.12818941 -2.06334161 -2.00650066 -1.67212525 -2.02102923
 -2.09701262 -2.12818941 -2.12818941 -2.11464611 -2.12818941 -2.06733819
 -2.28685218 -2.12818941 -2.12818941 -2.01456476 -2.12818941 -2.09257145
 -2.0931112  -2.10116653 -1.91630093 -2.01094183 -2.28685218 -2.08817904
 -2.12818941 -2.09552649 -2.06530813 -2.05850703 -2.0902402  -2.12818941
 -1.99466312 -2.28685218 -2.01960021 -2.12818941 -2.11082501 -2.12818941
 -2.28685218 -2.12818941 -2.10382214 -1.97526691 -1.78112872 -2.12705911
 -2.06194112 -2.12818941 -2.10603437 -2.12818941 -2.12818941 -2.12654068
 -2.12818941 -1.79360996 -2.07840743 -2.28685218 -2.02212633 -2.12818941
 -2.28685218 -2.12818941 -1.7335823  -2.28685218]"
ols,50,0.9518474105991447,0.009900990099009901,100,0.0523076057434082,"[0.38060168 0.12570141 0.29540858 0.07791276 0.31789208 0.33686542
 0.00342768 0.13914539 0.39550453 0.1428502  0.17299164 0.02684636
 0.11479768 0.05320625 0.14719419 0.22413826 0.06872811 0.0980863
 0.01351306 0.11750319 0.16611027 0.07849941 0.06366289 0.06122484
 0.06706108 0.37990127 0.14619211 0.00756196 0.07568355 0.06958379
 0.02280728 0.50470962 0.25051494 0.07268737 0.18822983 0.08254265
 0.29721699 0.21641496 0.16867445 0.04673102 0.01604607 0.05643666
 0.58377666 0.26243374 0.15479882 0.20470298 0.11177982 0.18177714
 0.35486187 0.20909909 0.02163495 0.01010329 0.26677352 0.18267908
 0.33747201 0.09716736 0.07158312 0.37567802 0.29834589 0.22571287
 0.19217576 0.10053907 0.32703867 0.185413   0.0061079  0.39442489
 0.08442782 0.08338371 0.19626742 0.25827602 0.6001716  0.16071771
 0.27295905 0.09780211 0.01768045 0.20923941 0.09250215 0.00305704
 0.02761261 0.06865229 0.39180505 0.18571614 0.07965429 0.07254914
 0.11315556 0.35981472 0.33428459 0.02199672 0.11360654 0.2266412
 0.18933268 0.07696422 0.20697818 0.46421312 0.21289269 0.05221012
 0.40928727 0.02086636 0.14379643 0.21638127]"
hrt,50,-0.9483543502585696,0.039603960396039604,100,0.0828254222869873,"[-0.64766109 -2.06935153 -1.43279785 -2.45719505 -1.83091063 -1.63036892
 -2.67696208 -1.20374768 -1.57673511 -2.09007422 -1.64512808 -2.24299998
 -2.32446515 -2.1444034  -1.33258332 -2.36857514 -2.01685438 -2.30880206
 -2.38017406 -2.33853751 -2.33309236 -3.36807226 -2.73002434 -3.30010126
 -2.1834779  -2.16269786 -1.25288038 -0.91935653 -2.93577144 -1.62734003
 -2.70993341 -2.65285603 -2.93746707 -2.17763811 -3.42682889 -1.84654281
 -2.82492168 -2.2845279  -1.5645339  -2.14250118 -2.33637499 -3.28706673
 -2.73806505 -1.39873775 -2.26711445 -1.6169057  -2.52092029 -2.83355816
 -2.44937962 -2.28470821 -2.46688567 -2.7690226  -2.41642966 -1.86222354
 -2.79707583 -2.82953906 -1.7128708  -2.06716233 -1.83502564 -1.82116302
 -2.86598854 -2.25823791 -1.42489001 -3.25439622 -3.11771805 -2.34904566
 -1.99449729 -2.67158269 -2.37461978 -1.36093419 -0.77583678 -1.88508792
 -2.59575121 -1.23106385 -2.04691036 -1.88677446 -2.00990986 -1.37225924
 -2.3914656  -1.11144995 -2.24232319 -1.20847715 -2.29347575 -3.16532881
 -1.66843572 -1.5782839  -3.11168424 -2.61391102 -2.30027247 -1.52142854
 -1.07150736 -1.6645692  -1.85961754 -2.3338579  -1.48565362 -2.14285653
 -2.07765049 -2.53008679 -1.88822653 -2.69628105]"
jackknife,50,-42.84420169915208,0.009900990099009901,100,27.248724222183228,"[-76.98499534 -84.87167676 -80.55692249 -80.65371964 -80.7993205
 -82.80765199 -80.78536467 -82.90515932 -75.39566224 -80.7023731
 -81.34330345 -81.07955258 -81.23198914 -83.09813635 -88.84691538
 -83.00547706 -83.86845988 -83.80116503 -81.82252662 -83.94066909
 -80.65371964 -80.65371964 -80.65371964 -81.24528378 -81.2191895
 -77.52619084 -83.63144429 -80.90418274 -82.13812599 -80.65371964
 -81.00242795 -72.86651457 -84.53518514 -80.87300987 -84.85113019
 -83.06983528 -78.35703208 -84.80555792 -83.46061856 -81.81326522
 -80.65371964 -82.19119332 -73.117826   -84.44451273 -80.93241988
 -81.42124158 -82.1980494  -81.9119167  -82.81499646 -83.93984665
 -81.20054094 -80.93442629 -82.49964205 -83.23372919 -78.13384198
 -83.48753099 -83.42255042 -79.69063975 -78.46006504 -85.61339968
 -81.73109706 -80.65371964 -83.15131068 -83.82480559 -80.65371964
 -77.33479534 -81.51793038 -83.55487668 -83.18355133 -82.19520376
 -73.642239   -83.93936643 -80.9658299  -83.86312786 -80.62704496
 -82.72907711 -84.14209088 -81.05256815 -80.90554256 -84.72943986
 -76.21146609 -82.8026635  -81.99191052 -82.22161129 -80.65371964
 -78.03367097 -80.95256087 -81.7311604  -84.33577592 -86.68421993
 -82.68364927 -83.36332729 -83.05566691 -74.27990681 -83.94944666
 -80.65371964 -78.76302375 -81.46581946 -83.69244094 -82.75775713]"
cross_val,50,-8.369695889155263,0.009900990099009901,100,5.513141632080078,"[-14.76490594 -17.19179331 -18.95672744 -15.14855307 -14.90190063
 -15.14898753 -18.11996307 -16.94118548 -15.50833585 -22.27005449
 -18.46412552 -15.52147138 -17.95993665 -18.90729431 -16.86242797
 -19.06948795 -17.26828355 -15.15394885 -18.02751799 -15.83445571
 -18.4230227  -17.45547559 -14.21186137 -18.10079477 -19.67542643
 -16.60199566 -16.85961421 -16.64877174 -16.06377506 -16.65586005
 -16.96218284 -16.32408529 -17.77935585 -15.88864877 -16.94276122
 -18.15143391 -16.85876123 -14.92696468 -16.89943745 -17.0784553
 -16.02402909 -17.14232972 -14.29713076 -17.78704159 -16.12931373
 -14.88908106 -17.77537583 -16.51604425 -16.79537631 -16.40649682
 -14.9350316  -16.40143662 -15.52555776 -18.55845421 -18.19526892
 -16.88818637 -15.71215487 -17.97297737 -16.03003616 -18.21437564
 -17.08406701 -15.60827317 -18.68666777 -18.391694   -17.27491307
 -18.19808843 -13.5458563  -19.30929013 -16.02522009 -17.49104088
 -16.41366859 -16.73765643 -16.56320874 -17.83002214 -14.83555808
 -16.49345058 -17.7524657  -15.99412142 -17.56069128 -20.82049557
 -15.74317882 -17.74178652 -17.8453039  -15.94911281 -15.12612739
 -15.50460709 -16.03135939 -18.74212017 -18.2725377  -18.03476076
 -17.94683972 -18.75176475 -18.94857318 -14.87723247 -20.03714391
 -18.75960306 -16.4937498  -15.79840838 -16.05667522 -16.91836226]"
train_score,50,-0.7604737066793791,0.009900990099009901,100,0.6023240089416504,"[-1.37414853 -1.49461417 -1.41748794 -1.50305246 -1.41847366 -1.42710508
 -1.50305246 -1.50305246 -1.3634655  -1.50305246 -1.47665318 -1.50305246
 -1.50305246 -1.50305246 -1.47087878 -1.46932758 -1.49947326 -1.48680002
 -1.50305246 -1.48261263 -1.50305246 -1.50305246 -1.50305246 -1.50305246
 -1.50305246 -1.3847018  -1.4816506  -1.50305246 -1.50305246 -1.50305246
 -1.50305246 -1.3314368  -1.48559223 -1.50305246 -1.45961767 -1.48875339
 -1.42331072 -1.45333682 -1.47189783 -1.49307085 -1.50305246 -1.50305246
 -1.29409576 -1.44207334 -1.50305246 -1.47085923 -1.50305246 -1.50305246
 -1.41926563 -1.49823593 -1.50305246 -1.50305246 -1.43797377 -1.4728156
 -1.40921475 -1.48707226 -1.50238785 -1.41100515 -1.40902168 -1.49543017
 -1.50305246 -1.50305246 -1.4509768  -1.49193442 -1.50305246 -1.39513766
 -1.50108087 -1.50017256 -1.47614525 -1.47709567 -1.3105704  -1.49500132
 -1.41958297 -1.50153429 -1.50305246 -1.47189412 -1.48867198 -1.50305246
 -1.50305246 -1.50305246 -1.35940672 -1.47885946 -1.49038164 -1.50305246
 -1.50305246 -1.42069908 -1.41190483 -1.50305246 -1.48623781 -1.49271426
 -1.46768248 -1.49230619 -1.46101857 -1.32875043 -1.48014796 -1.50305246
 -1.39870325 -1.50305246 -1.48402909 -1.46108762]"
