method,n,T_orig,p_value,B,time,T_b
ols,30,0.7766803000929701,0.019801980198019802,100,5.159027576446533,"[0.12748989 0.40603362 1.02770067 0.06074246 0.22620005 0.29046808
 0.2899483  0.10804499 0.26914605 0.02995569 0.12088454 0.11324718
 0.00392688 0.24329349 0.29556849 0.39397263 0.1599653  0.10405888
 0.01100443 0.088458   0.13165399 0.17687215 0.17772    0.34649816
 0.3092109  0.28276774 0.06745784 0.09701838 0.24846868 0.27989452
 0.14811103 0.16740527 0.38019063 0.16691364 0.44913008 0.01818876
 0.24232289 0.0193949  0.15838879 0.28182704 0.0385582  0.05237544
 0.21842594 0.17683814 0.21983722 0.24934942 0.44511073 0.12318443
 0.08322128 0.26213346 0.15101379 0.08779142 0.72357864 0.0211625
 0.24776468 0.04691238 0.43675555 0.28625321 0.08102538 0.0448542
 0.05982735 0.14260245 0.37800918 0.1393172  0.08849148 0.14938631
 0.18403234 0.14024306 0.28008468 0.10194836 0.18556564 0.10022294
 0.23715754 0.47929217 0.17121842 0.09322721 0.35143528 0.2860828
 0.08815534 0.13528946 0.06871716 0.02721203 0.08255537 0.04814196
 0.25302086 0.07354977 0.04477569 0.27277263 0.14610963 0.16758277
 0.10735636 0.33197444 0.09829744 0.04113785 0.07326582 0.31804365
 0.0194971  0.20406595 0.202931   0.41468094]"
hrt,30,-0.9489293989675421,0.19801980198019803,100,0.09302067756652832,"[-1.69652842 -1.90766462 -0.53863238 -3.22147443 -0.63775382 -0.87336982
 -0.80033379 -1.045416   -0.59206166 -0.2464205  -1.80687115 -2.30510326
 -1.23934436 -1.56441486 -1.74616405 -1.97151425 -2.53193816 -1.37213999
 -0.28937931 -1.60113901 -1.46226849 -1.43908483 -1.99934605 -0.2882368
 -1.35689973 -1.14574624 -1.69889686 -1.82328665 -1.86390651 -0.54726242
 -2.16431846 -1.29699246 -1.35116548 -4.28194233 -1.94831678 -1.37031025
 -2.38487561 -1.13403815 -1.75717091 -1.53614826 -1.59477449 -1.46526071
 -1.45643174 -1.61497297 -1.15549202 -2.0416638  -1.34067814 -1.75040259
 -1.90484068 -3.94355962 -2.96155937 -2.20579231 -1.06821637 -1.14491719
 -2.07412424 -1.7503013  -0.96708795 -3.05346523 -1.67525415 -1.17255676
 -1.73702318 -2.19574861 -1.08981542 -1.4768007  -2.04111872 -1.21432978
 -1.04395393 -0.15583069 -2.0432309  -1.43651453 -1.18550053 -1.24660631
 -1.53597319 -0.64232846 -3.32804719 -1.16027911 -0.7964137  -2.21739624
 -1.56555525 -2.48171455 -0.83763146 -1.68377131 -1.82672147 -1.12309396
 -0.35983114 -0.69356037 -1.4953611  -0.56142284 -0.85351232 -2.27248964
 -2.56844803 -1.16418733 -2.17615925 -1.68379608 -0.95827965 -0.9307931
 -1.65954144 -2.5584792  -2.16229491 -0.72588105]"
jackknife,30,-29.456227673534507,0.019801980198019802,100,16.39411497116089,"[-37.99140419 -36.11883711 -14.03229148 -37.59068325 -37.19741526
 -36.85488105 -35.360807   -37.2927821  -35.34197162 -37.73250626
 -38.07914253 -37.44969751 -37.76689834 -38.70380349 -35.37120599
 -32.55294581 -37.68075226 -40.39706758 -39.55962014 -36.00009146
 -37.57326321 -37.19321572 -37.13686962 -37.3512603  -40.19252053
 -38.23740063 -36.95599851 -36.01779707 -38.42137005 -37.64791233
 -38.59756209 -36.47464394 -32.75009891 -38.15312961 -33.00490391
 -35.90064568 -38.02213326 -35.84582591 -37.27172966 -36.87867937
 -37.17440207 -38.45910837 -38.24348437 -37.48970828 -39.4657007
 -39.04029143 -34.01026921 -38.15990147 -39.05436758 -38.66910972
 -36.71778965 -37.3937683  -31.03084162 -37.15282724 -40.25228831
 -35.98239077 -33.40332602 -38.07973825 -37.66704649 -36.35686512
 -36.70458017 -37.00129411 -37.33473744 -36.57211147 -38.5615387
 -38.56655829 -37.75013901 -38.32301714 -34.93374793 -37.00095396
 -36.95145215 -38.0789425  -39.96496508 -32.38258929 -38.377153
 -38.14046009 -36.77374011 -37.72803979 -38.83205035 -37.32350337
 -37.77750659 -36.83071567 -36.66459762 -38.71767882 -36.19536691
 -36.54325193 -35.83708393 -34.96562991 -37.67245126 -36.13615681
 -35.82321284 -36.71983137 -37.80235594 -35.8428618  -35.79546683
 -35.24548252 -36.35486945 -38.01839716 -37.95329147 -39.24212805]"
cross_val,30,-12.538245037547094,0.36633663366336633,100,5.491427183151245,"[-15.12136145 -10.89163897  -4.13176763 -13.70878219 -12.49034856
 -15.14480715 -11.07550963 -13.4457733  -13.58670532 -15.57590455
 -16.05315665 -10.65252279 -13.70913783 -11.76125053 -12.91051826
 -10.94855351 -11.64782039 -14.71915149 -14.73936384 -13.31096708
 -13.24906413 -15.69658823 -11.58047705 -11.01063584 -16.65080602
 -13.99292953 -13.31174453 -11.33521894 -11.45611394 -13.70456992
  -9.62812695 -11.69802139 -11.34815607 -15.46147701 -11.39712769
 -13.32136793 -14.85054743 -11.74875225 -15.1311727  -15.42068669
 -13.23521059 -14.37007463 -15.21326962 -14.73356848 -11.58090415
 -14.00992118 -13.11448933 -15.00951436 -14.5757519  -13.00637543
 -15.35648115 -13.67141813 -12.08841573 -13.72197252 -14.05801945
 -14.57367234 -11.81822197 -15.3267022  -14.45713215 -11.47902218
 -15.57304624 -13.92848649 -13.1987172  -14.74785154 -11.5863361
 -11.43496789 -15.09808359 -13.82812428 -11.85718768 -11.86141779
 -12.27846427 -14.16262906 -14.27991166 -12.34109381 -13.68013295
 -11.32637075 -12.94519265 -14.14149053 -13.56699357 -15.28523548
 -13.6503614  -12.81001369 -12.10294434 -12.23896055 -13.68737746
 -12.9496102  -11.33470094 -11.72476192 -16.30800673 -11.61504342
 -12.99955918 -14.17725092 -12.8619882  -13.86263173 -11.5832409
 -11.73009749 -12.07683171 -15.61657361 -17.07071744 -13.26847805]"
train_score,30,-0.7978914486026857,0.019801980198019802,100,0.5941064357757568,"[-1.05040999 -0.97050555 -0.39351354 -1.05040999 -1.04714031 -0.99796141
 -0.99603788 -1.04593706 -0.97938586 -1.05040999 -1.04231281 -1.04632092
 -1.05040999 -0.99394804 -1.0286215  -0.86927274 -1.03016952 -1.03171252
 -1.05040999 -1.05040999 -1.05040999 -1.05040999 -1.04492532 -0.98196525
 -0.98889633 -1.05040999 -1.05040999 -1.05040999 -1.00128811 -1.05040999
 -1.01641088 -1.02472454 -0.9089761  -1.03804071 -0.88374228 -1.05040999
 -1.00945964 -1.05040999 -1.02331468 -1.04348329 -1.05040999 -1.04924505
 -1.05040999 -1.05040999 -1.05040999 -0.99005352 -0.93572402 -1.03121937
 -1.03587034 -0.96612727 -1.05040999 -1.05040999 -0.85282418 -1.05040999
 -1.00418493 -1.05040999 -0.92250732 -0.96197833 -1.04695716 -1.05040999
 -1.05040999 -1.05040999 -0.94158222 -1.05040999 -1.04556322 -1.0282008
 -1.05040999 -1.03499857 -0.96221694 -1.05040999 -1.05040999 -1.03471994
 -1.05040999 -0.90489438 -1.01098956 -1.03346987 -1.00077127 -0.99259325
 -1.04899945 -1.03925114 -1.0475493  -1.05040999 -1.03477587 -1.03999314
 -1.05040999 -1.05040999 -1.05040999 -0.97662178 -1.05040999 -1.02375631
 -1.05040999 -0.98817731 -1.05040999 -1.05040999 -1.03955805 -0.97151846
 -1.05040999 -1.05040999 -1.03259908 -0.9635407 ]"
ols,50,0.7739115360030663,0.009900990099009901,100,0.058027029037475586,"[0.30239902 0.16009548 0.50736598 0.38292613 0.03710786 0.06101415
 0.06587485 0.19886159 0.38204322 0.20526273 0.07985138 0.04432374
 0.04055569 0.10349386 0.00502978 0.07689846 0.00504876 0.19668564
 0.26641865 0.03631463 0.0046785  0.18044127 0.03039688 0.08718482
 0.00810015 0.09303054 0.11015884 0.0796403  0.05721664 0.0944589
 0.20869624 0.11973774 0.1674145  0.16193538 0.05145909 0.01593316
 0.02930968 0.21917062 0.12219227 0.2194371  0.11731205 0.14859103
 0.27490241 0.2552329  0.12799748 0.18139829 0.09949658 0.02685876
 0.09176335 0.01080488 0.21840013 0.13549479 0.12234589 0.40880246
 0.1732814  0.09447565 0.12652869 0.04873017 0.15706399 0.12516229
 0.1825642  0.03125453 0.34542793 0.12154054 0.03068375 0.21103206
 0.05657487 0.05062957 0.15301774 0.18610884 0.35065854 0.02840162
 0.29918898 0.09865125 0.13349847 0.01730372 0.31675853 0.15894815
 0.16934726 0.23922124 0.36254648 0.26345647 0.03671923 0.11384814
 0.17447143 0.14003779 0.37042024 0.35384418 0.30842404 0.19350078
 0.05673766 0.35279633 0.28040783 0.02705773 0.36805483 0.33402586
 0.11222656 0.22727077 0.01654551 0.31068067]"
hrt,50,-0.949004994388938,0.06930693069306931,100,0.08286309242248535,"[-1.549794   -1.77828593 -2.14838858 -0.94501029 -2.07913113 -1.91365172
 -3.14672738 -2.7032528  -1.69016247 -1.74360566 -1.77958903 -1.79142441
 -1.45518969 -0.96627065 -0.91284071 -1.22338244 -1.49287558 -1.28452643
 -1.93750238 -1.68063637 -2.78680642 -2.96790602 -1.36883672 -1.61933311
 -2.32007773 -1.7129156  -1.63380317 -2.21779914 -1.36976475 -2.69759824
 -1.9885692  -0.92414607 -0.99855703 -0.96382255 -1.44965466 -1.524837
 -1.30221035 -1.13901151 -2.22218252 -1.62075486 -2.20858959 -1.3505938
 -1.40985918 -2.00045885 -1.99354945 -1.5327821  -2.52426586 -1.71879154
 -1.20549025 -2.11265252 -1.94066483 -1.80566333 -2.31343668 -1.5574246
 -1.6832472  -1.11379998 -1.17569893 -1.50564878 -2.30464344 -2.5109282
 -1.06011063 -1.26392819 -2.00075234 -1.96041926 -1.48832418 -1.81895076
 -3.00758746 -1.48452189 -0.71137585 -1.78410406 -2.07393162 -1.63532494
 -1.55375639 -1.31356052 -1.85879393 -1.50689635 -1.08519729 -1.10938131
 -1.79327081 -1.37444682 -1.05360927 -1.89241626 -2.45954442 -1.01563971
 -1.4611758  -2.07419    -2.08772312 -1.12798769 -1.90556776 -1.05842119
 -1.13009759 -1.14199742 -1.5295324  -0.92346968 -1.01553485 -1.35815736
 -2.00048331 -0.76167614 -1.27386274 -1.21406768]"
jackknife,50,-57.07783218765642,0.009900990099009901,100,27.249500274658203,"[-67.51238818 -70.22975621 -59.47616971 -62.87792448 -71.56781259
 -71.03958207 -70.59053095 -69.99464829 -67.39317054 -69.12317469
 -71.34640939 -71.98103574 -69.75592431 -72.35187247 -69.9802013
 -70.13744505 -68.35728183 -69.80690128 -69.25263611 -70.03320753
 -70.06555858 -71.15071607 -70.20772051 -71.35623339 -69.93875336
 -71.09195146 -71.36430039 -70.05542002 -70.90742056 -70.6077299
 -71.71377524 -70.16696132 -70.19828943 -71.72644239 -69.54885802
 -68.79931363 -69.45130417 -69.26944573 -71.3932241  -69.97839106
 -73.55926382 -73.04449042 -67.70335181 -68.64296561 -71.29782465
 -73.27298298 -71.32859248 -70.97125435 -70.64030129 -69.02835962
 -70.06011869 -70.85396085 -70.21684452 -66.47544375 -72.42138417
 -70.70011313 -72.13150719 -67.91073131 -71.86581949 -71.35865803
 -70.06343626 -70.96667884 -66.64784007 -69.72562464 -69.92740439
 -74.3570424  -69.67364285 -71.3145365  -72.594303   -69.33815434
 -66.35792604 -68.75917575 -69.28239103 -69.13118472 -69.49376084
 -69.0602373  -66.83013399 -70.03352694 -71.03523116 -71.22131843
 -67.44858929 -68.95335829 -70.72499002 -69.98761885 -71.96975394
 -72.3026394  -64.56520508 -67.09706513 -75.16402842 -70.94514856
 -70.90732647 -70.63837955 -68.71985382 -70.49456372 -65.46671302
 -67.29057425 -72.8084665  -72.62579025 -69.43326248 -68.58004628]"
cross_val,50,-11.894934366320637,0.019801980198019802,100,5.505035400390625,"[-13.92413411 -14.63669304 -11.78566855 -13.00455152 -14.21657394
 -14.90083413 -12.95097421 -15.46270102 -14.20963619 -14.74218607
 -15.4490098  -14.79899636 -16.61499836 -18.08745247 -15.7174389
 -15.54442211 -15.48977937 -15.75501466 -13.85139472 -13.55973384
 -13.94445008 -14.75090516 -14.49964911 -15.38165715 -14.46050216
 -15.61048394 -15.76666714 -14.0693894  -15.50641514 -12.99744324
 -15.17780239 -17.60047842 -14.86962571 -14.76943546 -15.38086488
 -13.68041826 -14.94343769 -15.96098255 -15.84258855 -14.00073784
 -16.28704477 -14.22380389 -15.59530595 -15.55517193 -12.54645887
 -16.10346091 -17.80166871 -14.33668031 -15.69160705 -12.65732754
 -14.67236621 -15.15378127 -15.50361861 -16.01075555 -15.0092495
 -13.90083518 -16.69958399 -13.83096761 -13.96622704 -13.96332851
 -14.28246709 -13.85234626 -13.21319384 -13.59923133 -12.91046982
 -15.44891689 -15.13178013 -14.03614392 -15.39624141 -13.74406605
 -12.28942397 -12.52909376 -14.61442129 -15.91279557 -16.98266239
 -16.07918077 -14.94704753 -13.83468948 -13.10891525 -15.52531405
 -14.82201303 -14.58451048 -13.99431151 -12.77676231 -13.58557681
 -13.71851589 -13.92442641 -14.87550465 -15.66952863 -13.27247792
 -15.17461734 -15.06050648 -13.05300876 -15.74872668 -13.68141603
 -13.54751325 -16.35873959 -14.54095321 -15.88223474 -12.85594129]"
train_score,50,-0.9957649384193326,0.009900990099009901,100,0.590217113494873,"[-1.19387802 -1.24140827 -1.04570197 -1.1090298  -1.27037777 -1.26113197
 -1.27037777 -1.27037777 -1.16949199 -1.22865885 -1.27037777 -1.27037777
 -1.27037777 -1.2544167  -1.27037777 -1.27037777 -1.27037777 -1.22713766
 -1.20940469 -1.25992201 -1.27037777 -1.22706532 -1.27037777 -1.27037777
 -1.27037777 -1.27037777 -1.27037777 -1.2682573  -1.27037777 -1.26287235
 -1.26959906 -1.26231052 -1.23656384 -1.24307789 -1.27037777 -1.27037777
 -1.27037777 -1.22136862 -1.26754596 -1.22743943 -1.26519637 -1.24427128
 -1.21887257 -1.20377537 -1.27037777 -1.22861853 -1.26523638 -1.26067162
 -1.27037777 -1.27037777 -1.22162952 -1.24776699 -1.24638534 -1.18320779
 -1.25774043 -1.27037777 -1.25140101 -1.27037777 -1.24166976 -1.26628174
 -1.22998061 -1.27037777 -1.17745458 -1.2517661  -1.27037777 -1.22873456
 -1.27037777 -1.27037777 -1.26515638 -1.22931844 -1.18245692 -1.27037777
 -1.19389611 -1.27037777 -1.27037777 -1.27037777 -1.17878889 -1.2541509
 -1.27037777 -1.25507478 -1.1730101  -1.2150463  -1.26021976 -1.24780066
 -1.23798045 -1.2463704  -1.14734832 -1.15352808 -1.21482834 -1.27037777
 -1.25863605 -1.19959095 -1.19167571 -1.27037777 -1.14996914 -1.16960157
 -1.27037777 -1.26969967 -1.27037777 -1.19653323]"
