method,n,T_orig,p_value,B,time,T_b
ols,30,1.0034588061312597,0.019801980198019802,100,5.016411304473877,"[0.03919234 0.33522033 1.15640799 0.14947773 0.09601414 0.33653003
 0.10125833 0.43131881 0.41575238 0.27601175 0.176209   0.53077365
 0.25619678 0.20770392 0.29337087 0.25532483 0.64688283 0.24496097
 0.2592325  0.10120906 0.27396322 0.52983618 0.13462238 0.81905997
 0.05925629 0.06466629 0.53536807 0.35874594 0.02538089 0.51829329
 0.37474798 0.31508657 0.0553295  0.06623357 0.03574531 0.29318811
 0.34286893 0.08981603 0.0572686  0.05466773 0.06327495 0.1985377
 0.20067861 0.12553626 0.41574201 0.24589955 0.13204849 0.07793146
 0.14187961 0.04565379 0.3678233  0.35126324 0.33641754 0.24761128
 0.13267261 0.21033587 0.04126675 0.28302109 0.16013251 0.25834142
 0.2582936  0.57731164 0.65883761 0.08207112 0.31131135 0.19484447
 0.51691361 0.26565027 0.1982603  0.35274122 0.26091082 0.29211051
 0.11072745 0.13924573 0.37709755 0.01496182 0.24071103 0.52564573
 0.59039772 0.0346464  0.11878165 0.48378944 0.18257608 0.2615053
 0.3184889  0.37959523 0.00647986 0.02562131 0.15749698 0.23459719
 0.27021578 0.39060951 0.36739926 0.1440737  0.27786448 0.42775385
 0.35046876 0.00900256 0.0274115  0.05525425]"
hrt,30,-0.6952129061362277,0.15841584158415842,100,0.08743572235107422,"[-2.24157773 -1.78748981 -0.37033874 -1.30925935 -1.72815496 -1.20591482
 -0.21473186 -0.89908566 -1.54393361 -1.19650169 -1.25019266 -2.0901576
 -1.01963006 -1.12243178 -1.64179183 -0.51390877 -1.04983517 -0.87811495
 -1.2192121  -2.31034699 -1.17562524 -1.40026027 -0.50188702 -1.66417883
 -1.17344269 -0.48902776 -2.41626681 -0.84419001 -1.78222089 -1.63762022
 -1.30581029 -1.91067653 -2.18530959 -1.63787225 -2.36249218 -1.73489403
 -1.4949619  -0.33102778 -2.1512345  -1.08176715 -3.43239908 -0.77224441
 -0.53959715 -2.22522293 -2.92916272 -2.27363985 -1.9935407  -1.16112071
 -1.39851412 -1.71108418 -1.8742649  -1.96005041 -1.23767587 -2.55592249
 -0.61290503 -0.78159536 -0.5918146  -2.18947898 -1.5444155  -2.23619339
 -0.68753168 -0.92051287 -1.2647974  -0.98438734 -0.83100418 -1.55050577
 -1.6232954  -0.95090898 -2.10254595 -2.08013403 -0.53271343 -1.19691596
 -1.07625353 -0.93681116 -1.18427616 -1.68302273 -0.51599365 -0.29976219
 -1.40615357 -1.44488378 -2.23924029 -1.61602806 -1.82039771 -2.52464271
 -1.31539113 -1.73410546 -1.98747756 -2.06427654 -2.58069844 -1.67681432
 -1.1285372  -1.70055692 -1.81355452 -2.50502743 -2.84989306 -0.60163183
 -2.08139141 -0.62353893 -2.10484078 -1.94078856]"
jackknife,30,-41.30797135313689,0.019801980198019802,100,16.42965817451477,"[-57.26794284 -57.24124459 -17.34464941 -59.74166796 -62.4383415
 -59.28459207 -63.53235306 -57.22520562 -57.08034071 -58.10421838
 -63.8763289  -54.9706581  -60.38982962 -61.34265065 -60.54719639
 -56.75319427 -54.79115429 -63.54563461 -59.95224171 -60.52908273
 -64.33929667 -61.60569442 -63.06783665 -44.43627358 -56.91619759
 -58.56695603 -50.58111997 -57.38110061 -60.72786763 -51.3906307
 -56.97689193 -62.0810708  -55.69057125 -58.9979497  -57.08378947
 -57.59219959 -58.52850666 -58.5157981  -60.2423999  -61.02834869
 -56.93991837 -58.54531692 -70.4358231  -62.92495148 -55.40533472
 -59.48889364 -58.62936162 -65.8180568  -64.5199131  -59.46552086
 -58.1273438  -55.90550212 -59.11081137 -58.84875471 -69.12670135
 -63.06403803 -57.54848203 -64.46075025 -59.0610015  -62.47289722
 -58.50905215 -54.07344707 -48.29611983 -55.8414227  -56.38658884
 -59.36320977 -52.03050044 -68.63738177 -59.62911401 -60.50160417
 -60.93556508 -60.4299312  -57.37366695 -59.12609078 -59.89938186
 -58.21806853 -58.0156853  -55.07910251 -55.85160386 -60.60919547
 -61.63207726 -55.32367236 -59.05864019 -61.82339408 -56.81841301
 -58.39779739 -59.63383671 -56.10518576 -60.59106115 -62.8506616
 -57.56496561 -68.65164186 -57.88542315 -61.00320712 -57.57960345
 -52.09806253 -61.04123131 -56.14816679 -56.96423481 -62.05650373]"
cross_val,30,-13.92989635454487,0.019801980198019802,100,5.449522018432617,"[-17.07488002 -26.28528235  -6.17181216 -19.58149768 -20.05712261
 -17.6259105  -24.25477268 -20.56960456 -17.80348906 -20.19301357
 -24.68491105 -20.74772994 -19.40273302 -23.89205263 -17.72233407
 -26.70494442 -16.43326818 -21.77216894 -29.77274407 -27.44519807
 -23.95900275 -22.76501322 -20.90156503 -18.12912567 -22.98845261
 -19.59018485 -21.00507043 -15.86237472 -20.93174715 -20.52012782
 -19.06682881 -19.23161936 -25.13657385 -20.51031815 -22.20842262
 -19.2330157  -24.17965167 -17.38053406 -20.50626542 -20.06027961
 -14.85057606 -20.65924911 -21.40668489 -21.1933455  -19.86039632
 -24.50584534 -19.9796917  -22.59437966 -18.93409065 -18.56390689
 -22.49150387 -22.13344695 -22.81970821 -21.03578938 -18.51109259
 -23.42485433 -22.57447825 -20.14632731 -17.55625062 -20.98780449
 -19.64813554 -23.91248137 -19.11541336 -21.41713123 -22.00559892
 -22.77183161 -18.34139895 -17.20749714 -19.11410097 -23.69908809
 -23.6481909  -20.07252192 -20.04571956 -16.7584184  -17.71631861
 -25.25901607 -21.75492663 -19.07219087 -18.36436089 -21.02281357
 -22.22896367 -19.67420602 -20.34282573 -18.02135086 -25.49643085
 -27.53704957 -18.05672076 -25.27103784 -28.58280293 -18.32483805
 -23.31018146 -21.38081054 -17.51777627 -21.77127708 -21.56082958
 -16.37601672 -19.84640072 -22.76796275 -20.41099128 -16.75823268]"
train_score,30,-1.110228157824442,0.019801980198019802,100,0.6025092601776123,"[-1.59804861 -1.53301607 -0.4743993  -1.59072514 -1.59088393 -1.51653384
 -1.81964543 -1.49786453 -1.48437154 -1.55954154 -1.56164481 -1.44761701
 -1.59804861 -1.57467418 -1.55295282 -1.53604068 -1.3995904  -1.58611284
 -1.53395744 -1.59804861 -1.55848754 -1.49211391 -1.59804861 -1.17823709
 -1.59804861 -1.59804861 -1.39821914 -1.51070817 -1.59804861 -1.37729813
 -1.49226257 -1.54346645 -1.59804861 -1.59804861 -1.59804861 -1.53274844
 -1.48677007 -1.59282416 -1.59804861 -1.59751054 -1.59804861 -1.58017746
 -1.81964543 -1.59804861 -1.45831354 -1.55657843 -1.58620361 -1.59394141
 -1.81964543 -1.59804861 -1.54307428 -1.44450553 -1.56192531 -1.57535279
 -1.81964543 -1.57821001 -1.59804861 -1.54404806 -1.59804861 -1.54885719
 -1.53506645 -1.43671334 -1.29742492 -1.59804861 -1.52539451 -1.57792928
 -1.43855816 -1.81964543 -1.57302869 -1.81964543 -1.55411869 -1.53466886
 -1.59804861 -1.59804861 -1.59770803 -1.59804861 -1.53278352 -1.46012463
 -1.34947995 -1.81964543 -1.58396934 -1.44427806 -1.54343789 -1.52732639
 -1.51373827 -1.59804861 -1.59804861 -1.59804861 -1.58816368 -1.57469705
 -1.59804861 -1.51130619 -1.52704429 -1.59804861 -1.51503439 -1.41874342
 -1.59804861 -1.59804861 -1.59804861 -1.59605756]"
ols,50,1.0932947736504348,0.009900990099009901,100,0.057734012603759766,"[3.63925161e-01 5.93741131e-02 2.58555351e-01 3.28591395e-01
 1.59946733e-01 7.87158013e-02 3.06545725e-01 1.25521550e-01
 2.49597978e-03 1.67263373e-01 8.44666775e-02 1.36485337e-01
 1.42318785e-01 1.75018892e-01 1.16362048e-01 1.84546318e-01
 3.01497709e-01 2.98606098e-01 8.84203238e-02 1.91760833e-01
 4.16366523e-02 4.79617238e-02 2.55869106e-01 1.51931538e-01
 1.95310205e-01 2.10782828e-01 5.38874111e-01 2.47259148e-01
 5.15410202e-01 6.72565446e-02 4.67361370e-02 4.02600322e-02
 2.00661240e-01 1.58420931e-01 3.12072020e-01 9.48607349e-02
 3.28420836e-01 6.79549298e-02 1.09614743e-01 2.00871449e-01
 1.98704080e-01 4.71799364e-02 3.90360135e-02 2.32878655e-01
 1.33546436e-03 2.96638120e-01 1.73803536e-01 7.06279271e-02
 8.94641323e-02 4.26301370e-01 3.59279108e-02 1.92455698e-01
 2.15884728e-02 4.73244779e-01 2.72755437e-01 2.42100154e-02
 2.89741588e-01 5.03318204e-01 2.02704236e-01 1.69672942e-01
 2.98109999e-02 6.44664724e-02 1.90584146e-01 1.52008594e-01
 2.51662171e-01 3.24826510e-01 3.48097291e-01 6.24557352e-02
 4.95423848e-01 5.17616507e-02 2.66042722e-01 2.45993378e-01
 6.27499389e-03 3.95628481e-02 1.37585453e-01 1.12210162e-01
 4.32395483e-01 1.16088990e-01 3.55498342e-02 3.03283517e-01
 1.50908777e-01 1.64007311e-01 1.47023484e-01 1.22256213e-01
 1.01774186e-01 1.39417320e-01 2.21326537e-01 2.20362851e-04
 9.02169357e-03 2.31629245e-02 1.23890028e-01 1.87237513e-01
 1.71905208e-01 4.20470627e-01 1.59944224e-01 3.13303956e-02
 1.78923621e-01 9.87767806e-02 1.97847872e-01 3.28628600e-01]"
hrt,50,-0.9670511800648868,0.019801980198019802,100,0.08122134208679199,"[-1.20948723 -1.40547214 -1.68958386 -1.70740246 -1.5281901  -2.88946968
 -1.6057186  -0.97372074 -2.53484501 -2.45511041 -1.96538523 -2.02399799
 -2.34850787 -4.63401202 -1.93116875 -2.21193466 -2.86581671 -1.96603182
 -4.51195988 -3.67539064 -2.53243434 -2.82805321 -1.67696881 -2.30182527
 -1.56510219 -1.15676556 -1.51059194 -3.63198484 -1.44887337 -3.49894765
 -3.72393205 -2.04848877 -4.12064066 -2.58243379 -2.06797206 -2.30925204
 -3.07806662 -1.38612573 -1.91259694 -2.11537825 -2.39201307 -3.65451878
 -3.31933992 -2.27498008 -2.12965871 -1.41910036 -2.2618905  -2.67993847
 -1.90712945 -2.59427871 -2.18467526 -3.71479049 -5.19022184 -4.30688991
 -2.14615847 -1.39664338 -3.12884823 -2.91549785 -4.45559841 -2.83124138
 -1.41795057 -2.31955548 -2.01377486 -1.35662345 -4.60420257 -2.51878978
 -2.07853032 -5.86816186 -2.35959829 -0.8617797  -2.30655482 -2.97721791
 -2.87434302 -2.68061307 -2.82742365 -3.09878168 -1.55822258 -1.81421887
 -4.42182051 -2.29828818 -2.38694055 -4.47689661 -1.8203777  -4.03504754
 -2.55761992 -3.26088702 -1.64660506 -2.72610498 -1.51966535 -2.9417969
 -3.8545038  -1.36175517 -2.28531074 -1.7449103  -2.59197026 -2.1642599
 -3.26903761 -2.86855782 -1.57392361 -2.29482258]"
jackknife,50,-56.41339784298702,0.009900990099009901,100,27.153515100479126,"[ -94.8139055   -95.48432141  -96.39649263  -94.62918684  -97.97903362
  -98.10137171  -92.81877159  -95.52093316  -96.38305592  -96.95986592
  -95.52093316 -102.03176524  -96.00444704  -99.30118305  -99.35197219
  -98.23738395 -100.00180013  -96.27897214  -95.74929617 -100.48932707
  -96.52512989  -97.59319075  -97.57019231  -98.71976052  -97.14089026
  -96.55941232  -87.3863293   -98.56499098  -90.26164521  -97.6679379
  -98.32469042  -96.12943145  -98.46259267  -98.69071161 -102.78996946
  -96.75354061  -95.5375526   -98.54402841  -97.4225242   -99.93651886
  -97.19210234  -98.99772991  -95.52093316 -101.22632054  -96.04250331
  -94.06807287 -100.04760083  -99.31822818  -97.36644011  -96.2641871
  -97.15287907 -100.15360202  -95.52093316  -94.98884019  -94.99094615
  -95.52093316  -96.13988963  -87.9589601   -97.06826086  -95.52093316
  -97.60840991  -96.07109305  -99.01538758  -98.35201035  -96.96755095
  -96.57141876 -101.79382784  -98.56659829  -89.71226155  -97.29846281
  -94.85602532  -97.08495874  -96.10953641  -95.52093316  -99.91357859
 -100.03832759  -99.14915112  -97.61467731  -95.53056748  -94.11465088
 -101.5340019   -98.60177559  -97.32702616  -98.94449686  -95.52093316
  -99.85922342  -97.02273058  -95.26477766  -95.69427535  -97.08473338
  -96.88905796 -100.28835416  -95.62608707  -93.10396698  -99.00866353
  -95.77635972  -98.90492107 -101.02900947  -99.40178622  -96.27340999]"
cross_val,50,-11.503901579850556,0.009900990099009901,100,5.5239012241363525,"[-21.06810049 -20.25335649 -19.87481992 -18.65108298 -19.29279961
 -20.64728999 -16.90173903 -18.86768714 -18.75758966 -17.58026716
 -20.47606859 -21.411976   -20.01583455 -19.57014648 -18.67274489
 -20.19017973 -19.45866617 -19.89871369 -21.12259563 -17.99478988
 -23.42236353 -20.96110985 -18.82074563 -17.14111198 -22.62623762
 -22.90887718 -16.03926769 -20.97085852 -15.36996029 -19.85465961
 -22.66653681 -19.89759794 -20.10113386 -23.14822505 -19.97117367
 -21.16062045 -19.99348682 -22.42190687 -21.58048492 -19.99300055
 -19.71727163 -19.06381992 -19.27870124 -22.44407576 -21.44189264
 -18.30589865 -18.08983502 -22.81281467 -19.09416431 -19.21718759
 -18.83609227 -21.6383834  -18.11223305 -19.09762003 -18.10729584
 -22.89023689 -19.99068231 -20.32265818 -21.6324796  -19.27619642
 -20.97222467 -20.90987533 -20.47308169 -19.36810621 -19.04879837
 -20.19414881 -21.72354577 -20.56839317 -22.82243492 -17.31983581
 -19.86286192 -19.22804139 -22.58881425 -22.57151935 -20.52429109
 -18.01104286 -19.88337257 -19.67241313 -23.81228735 -18.75271261
 -20.83635645 -24.04998303 -20.28540194 -19.59541368 -22.86914826
 -17.5478695  -20.71495003 -21.15181152 -21.73896595 -20.85327092
 -20.57998022 -22.57016947 -19.5880126  -19.11271484 -19.56020327
 -21.28930099 -19.4938635  -22.22919852 -20.47208258 -20.63084307]"
train_score,50,-0.9926417264355284,0.009900990099009901,100,0.5933563709259033,"[-1.69434437 -1.77741747 -1.73068502 -1.68674698 -1.77741747 -1.76363274
 -1.69173537 -1.77741747 -1.77741747 -1.75326786 -1.77741747 -1.7702717
 -1.75116208 -1.74335846 -1.76950049 -1.74950117 -1.72249739 -1.72813403
 -1.77741747 -1.77741747 -1.77741747 -1.77741747 -1.72089994 -1.75002434
 -1.73987538 -1.72053758 -1.53028122 -1.72724884 -1.60557676 -1.77741747
 -1.77741747 -1.77741747 -1.77741747 -1.75040739 -1.77741747 -1.77741747
 -1.69640091 -1.77741747 -1.76307503 -1.74388523 -1.73845832 -1.77741747
 -1.77741747 -1.72230361 -1.77741747 -1.68633505 -1.76921164 -1.77672879
 -1.77655453 -1.68319822 -1.767945   -1.74225294 -1.77741747 -1.59742598
 -1.71675604 -1.77741747 -1.71450157 -1.61498875 -1.73685125 -1.77741747
 -1.76846827 -1.77741747 -1.77741747 -1.75568197 -1.71527441 -1.69880195
 -1.68487199 -1.77741218 -1.59954767 -1.77741747 -1.72191329 -1.77741747
 -1.77741747 -1.77741747 -1.75942217 -1.76125603 -1.68556296 -1.77741747
 -1.77741747 -1.69646673 -1.77485929 -1.77004866 -1.75085007 -1.75407058
 -1.77741747 -1.77741747 -1.73542573 -1.76849925 -1.77741747 -1.76852528
 -1.77741747 -1.75237947 -1.77741747 -1.66547084 -1.75157841 -1.77741747
 -1.77741747 -1.75843593 -1.76046374 -1.70422706]"
